to_usgs, from_usgs
07211500, "{07207000,07207500,07208500,07203000}"
02029000, "{02026000,02028500,02027000,02027500}"
01014000, "{01011000,01013500,01010500}"
07359002, "{07358550,07358250,07356000,07358280}"
01335754, "{01328770,01329490,01330000,01334500}"
06402600, "{06401500,06402430,06402500,06402000}"
02334653, "{02334430,02334480,02334578,02334620}"
12372000, "{12363000,12366080,12365700,12370000}"
10322500, "{10321000,10322000,10322150,10321590}"
04116000, "{04115265,04115000,04114000,04114498}"
09144250, "{09128000,09136100,09143500,09129600}"
06803495, "{06803486,06803170,06803093,06803080}"
02467000, "{02466030,02448500,02448900,02447025}"
03209500, "{03207965,03207800,03209000,03208500}"
01034500, "{01030500,01027200,01029500,01034000}"
12445000, "{12444550,12444290,12439500,12442500}"
07194500, "{07165570,07176000,07178200,07191500}"
05568500, "{05558300,05568000,05561500,05560500}"
09508500, "{09506000,09507480,09507980,09508300}"
03025500, "{03016000,03024000,03020000,03020500}"
08111500, "{08110800}"
09315000, "{09306500,09272400,09314500,09302000}"
05427085, "{05426000,05425500,05426250,05426350}"
01400000, "{01399100,01399670,01399500,01398500}"
07331600, "{07316000,07331200,07331383,07331000}"
01545500, "{01542500,01544000,01543500,01545000}"
04087120, "{04087070,04087030,04087088,04087119}"
07106000, "{07105800,384037104472001,07105900,07105940}"
07187600, "{07186000,07187000,07186055}"
04182900, "{04182808,04182755,04182000,04180500}"
14220500, "{14219000,14216000,14216500,14219800}"
02294650, "{02294217,02294161,02294405,02294330}"
03377500, "{03343010,03346500,03376500,03374100}"
14189000, "{14184100,14187500,14188800,14188610}"
05070000, "{05064500,05067500,05069000,05066500}"
04157005, "{04151500,04148500,04144500,04156000}"
02112000, "{02111500,0211139110,02111180,02111000}"
06807000, "{06805500,06610000,06806500,06610795}"
05079000, "{05075000,05076000,05078500}"
02444160, "{02443500,02441300,02439400,02437000}"
08108700, "{08106500,08098290,08098300,08108250}"
08276500, "{08263500,08266820,08276300,08267500}"
02358000, "{023432415,02343940,02356000,02357000}"
02210500, "{02209000,02208000,02209360,02204520}"
02089000, "{02087500,02088500,0208773375,02088000}"
01578310, "{01576000,01576787,01576754,01577500}"
09066325, "{09066300,09066200,09065500,09066000}"
06879100, "{06877600,06857100,06878000,06878600}"
05301000, "{05292000,05293000,05294000,05300000}"
04040000, "{04036000,04033000,04037500}"
02342881, "{02341460,02341800,02342850,02342500}"
09027100, "{09025000,09026500,09025300,09024000}"
07249413, "{07249400,07247015,07247250,07247500}"
06601200, "{06486000,06600500,06601000}"
07341500, "{07337000,07340000,07340300,07341200}"
02375500, "{02375000,02374250,02374745,02374700}"
02224940, "{02224500,02215500,02215900,02216180}"
04208504, "{04208347,04208000,412453081395500,04208502}"
01381900, "{01381000,01381800,01379530,01379500}"
06887500, "{06887000,06879100,06879810,06879650}"
12395500, "{12391950,12392155,12395000,12392300}"
06824500, "{06823000,06824000,06823500,06821500}"
13206000, "{13185000,13200000,13192200,13204640}"
05532500, "{05529000,05529500,05531500,05532000}"
06770200, "{06768035,06769525,06768020,06769000}"
05586100, "{05568500,05583000,05570000,05585000}"
02166501, "{02163500,021650905,021652801,02165200}"
09402000, "{09401110,09400568,09400350,09401260}"
02146800, "{02146381,02146530,02146750,0214678175}"
03352953, "{03351000,03352500,03351072,03351310}"
06813500, "{06807000,06810000,06813000,06811500}"
01188090, "{01187300,01186000,01188000,01186500}"
09471000, "{09470700,09470800,09470750,09470500}"
13247500, "{13235000,13236500,13237920,13246000}"
07367005, "{07366200,07364078,07364200,07364300}"
02387000, "{02384540,02384500,02385170,02385800}"
11425500, "{11390500,11421000,11402000,11424000}"
05558300, "{05543500,05555300,05552500,05556500}"
11150500, "{11149400,11149900,11147500,11148500}"
07335500, "{07331600,07332500,07335300,07332622}"
06887000, "{06882510,06885500,06886500,06884400}"
11128500, "{11128250,11123500,11124500}"
03049500, "{03048500,03036500,03039000}"
06892518, "{06892350,06892513,06892495,06892360}"
09050700, "{09050100,09046600,09047700,09047500}"
02453500, "{02450250,02450825,02450180,02453000}"
02147020, "{02146800,0214685800,02146110,02146000}"
09081000, "{09080400,09074500,09073400}"
03424860, "{03424730,03423000,03421000}"
05545750, "{05543830,05544200,055451345}"
06918250, "{06916600,06917060,06918060}"
02295637, "{02295194,02295580,02295420}"
01434000, "{01428500,01432110,01433500}"
10293000, "{}"
11313440, "{11313452,11313431,11313434}"
12305000, "{12301933,12302055,12304500}"
02337000, "{02336986,02336968,02336910}"
03245500, "{03241500,03240000,03244936}"
07221500, "{07218000,07216500,07211500}"
08353000, "{08343500,08340500,08334000}"
03150000, "{03146500,03144500,03149500}"
05407000, "{05404000,05406500,05405000}"
07161450, "{07160500,07160000}"
07263300, "{072632982,072632971}"
02388500, "{02387500,02387600,02388350}"
05540290, "{05540130,05540250,05540275}"
05550001, "{05545750,05548280,05549000}"
06919020, "{06918740,06918440,06918460}"
08106350, "{08104500,08105700,08105888}"
02207220, "{02207120,02207160,02207185}"
06853020, "{06847500,06848500,06844500}"
11520500, "{11516530,11519500,11517500}"
02198375, "{02197500,02198000,02198100}"
01451000, "{01449000,01449800,01450500}"
07142680, "{07141300,07142575,07141900}"
12097850, "{12097820,12096865,12097500}"
07326000, "{07325850,07325800,07325860}"
04099000, "{04097500,04097540,04098980}"
02016500, "{02013100,02016000,02014000}"
