USGS_id,Link_id,lat,lon,area,OBJECTID
"07065495","7518879",37.148396,-91.443146,298,"6"
"07050700","7607997",37.149334,-93.203575,246,"6"
"07048600","8590894",36.075935,-94.083519,400,"6"
"07050500","8586784",36.421833,-93.626465,527,"6"
"07057500","7650991",36.621105,-92.248161,561,"6"
"07052345","7608695",36.975502,-93.321388,261,"6"
"07066000","7518797",37.154194,-91.356483,398,"6"
"07061500","7667476",37.338818,-90.777962,484,"6"
"07343200","1129533",33.390499,-95.057755,1365,"6"
"07069305","7561723",36.313187,-91.481125,845,"6"
"07058000","7650971",36.627819,-92.308952,570,"6"
"07061600","7668920",37.326603,-90.764809,493,"6"
"07052250","7607905",37.006283,-93.366592,462,"6"
"07343450","1128575",33.293293,-94.674347,1976,"6"
"07075000","11778001",35.652843,-92.320938,302,"6"
"07071500","7572703",36.640759,-91.201019,793,"6"
"07344210","1128277",33.304253,-94.151581,3443,"6"
"07052500","7609749",36.804447,-93.462341,987,"6"
"07062500","7669190",37.057549,-90.684807,987,"6"
"07069500","7561621",36.204552,-91.171364,1180,"6"
"07062575","7670456",36.973381,-90.597214,1007,"6"
"07056000","11818755",35.982883,-92.748329,829,"6"
"07067000","7524421",36.991337,-91.012779,1667,"6"
"07348700","19935747",32.985126,-93.395233,605,"6"
"07072000","7573907",36.350674,-91.118736,1130,"6"
"07349860","3761618",32.427673,-93.593666,980,"6"
"07056700","11816353",36.057705,-92.58712,1070,"6"
"07063000","7671958",36.732105,-90.343582,1245,"6"
"07064000","7672652",36.412727,-90.535423,1750,"6"
"07076517","11779377",35.437462,-91.74588,1340,"6"
"07068000","7523285",36.626442,-90.850525,2038,"6"
"07069000","7548159",36.247555,-90.973717,4840,"6"
"07072500","7549123",36.097168,-91.09787,7370,"6"
"07074420","7551125",35.764832,-91.312126,8420,"6"
"07057370","11830560",36.230129,-92.306007,8040,"6"
"07060500","11830684",36.116123,-92.152031,9980,"6"
"07061000","11833608",35.760071,-91.643021,11070,"6"
"07074500","11799733",35.609875,-91.305298,19900,"6"
"07074850","11802423",35.285839,-91.396744,20500,"6"
"07341500","19947688",33.587795,-93.816788,52336,"6"
"07344370","19950146",33.060535,-93.827957,56903,"6"
"07358250","15233884",34.529835,-93.076355,0.83,"6"
"07358280","15238142",34.484966,-93.046524,-999,"6"
"07380400","22356915",30.099504,-90.993675,-999,"6"
"07047855","3672682",35.805695,-90.638412,6.63,"6"
"07358550","15233768",34.5387,-93.028496,8.3,"6"
"330304090210100","17997396",33.049828,-90.352905,-999,"6"
"07380401","22357431",30.096542,-91.006859,-999,"6"
"07032200","14199477",35.0495,-89.818642,68.2,"6"
"07362579","21921793",34.798191,-93.005966,5.31,"6"
"07026795","7484594",36.382904,-89.342445,8.01,"6"
"333420090445900","17958013",33.570225,-90.745224,-999,"6"
"07076750","14320639",35.137722,-91.442284,22400,"6"
"02486100","15756778",32.293522,-90.223389,12.1,"6"
"07373000","19376616",31.537254,-92.410309,51,"6"
"02485700","15758118",32.364979,-90.146194,16.8,"6"
"07077652","9273030",35.850445,-90.702637,19.7,"6"
"08014800","15078776",30.812,-93.228714,120,"6"
"02484760","15748460",32.509155,-89.82032,52.3,"6"
"07362587","21919761",34.798115,-92.930824,27,"6"
"07381235","22370531",29.584871,-90.374596,-999,"6"
"07031692","14206348",35.168766,-89.868431,30.5,"6"
"08010000","15140365",30.491964,-92.480499,131,"6"
"07288000","17951955",34.187473,-90.574402,108,"6"
"07024200","14112386",36.06422,-88.410027,26.5,"6"
"07273100","15289204",34.362244,-89.876907,35.1,"6"
"07287404","17997024",33.106544,-90.171951,62.1,"6"
"07026680","7486454",36.480865,-89.304611,25.7,"6"
"07360200","22698054",34.318417,-93.906425,68.4,"6"
"08012000","15139713",30.472139,-92.628227,527,"6"
"07376500","20090348",30.503078,-90.544922,79.5,"6"
"08014500","15078398",30.685213,-92.899895,510,"6"
"07381000","22366581",29.79882,-90.820763,-999,"6"
"07035000","731205",37.56213,-90.310265,90.5,"6"
"07295000","19104913",31.229984,-91.289055,180,"6"
"07359610","22000700",34.381908,-93.605072,136,"6"
"02492343","15707813",30.576677,-89.593773,86.1,"6"
"07375000","18928210",30.620869,-90.249496,103,"6"
"07024000","14126587",36.628063,-88.96801,68.7,"6"
"02485498","15750940",32.386486,-89.952408,206,"6"
"07361500","22699700",34.037052,-93.41526,178,"6"
"07030392","14208484",35.032784,-89.248131,210,"6"
"07274252","15275898",34.143879,-89.652344,97.1,"6"
"07288521","17956783",33.550167,-90.672836,-999,"6"
"07288068","17952389",34.075356,-90.621994,-999,"6"
"07287160","17995532",33.341,-90.18869,95.7,"6"
"07377500","18988724",30.755243,-91.04628,145,"6"
"07375800","20089222",30.928003,-90.673256,89.7,"6"
"07026500","7491728",36.442337,-89.30265,110,"6"
"07382000","15147890",30.992506,-92.373909,240,"6"
"07291000","19115892",31.505745,-90.778595,181,"6"
"07037300","734075",37.271267,-90.516647,189,"6"
"07366200","15221924",32.924892,-92.631363,208,"6"
"02492360","15707325",30.661341,-89.687119,175,"6"
"07375280","18972763",31.01482,-90.463196,158,"6"
"07372050","15217033",31.942429,-92.599983,740,"6"
"07275900","15252066",34.908569,-89.749359,191,"6"
"07285400","18017020",33.772358,-89.78231,240,"6"
"07029270","14222341",34.941498,-88.792839,274,"6"
"07378000","18988606",30.514278,-91.074539,284,"6"
"07024500","14113038",36.118458,-88.811493,383,"6"
"07274000","15274896",34.273537,-89.52047,262,"6"
"07268000","15288074",34.483368,-89.225792,526,"6"
"07264000","938020696",34.733696,-91.899864,207,"6"
"02483000","15787182",32.591747,-89.46978,411,"6"
"07364300","19474583",32.988194,-91.80423,271,"6"
"07030240","14062259",35.310772,-89.642654,262,"6"
"07047942","22860477",35.141003,-90.876762,535,"6"
"02487500","15759818",31.970501,-89.900223,425,"6"
"07288280","17958105",33.830654,-90.67205,553,"6"
"07364133","19469497",33.863026,-91.652374,380,"6"
"02490500","15687631",31.179842,-90.282997,492,"6"
"07288650","17963095",33.393337,-90.84507,484,"6"
"07025400","7483456",36.406029,-88.84687,372,"6"
"07283000","18015234",33.973667,-89.347931,254,"6"
"07363000","21920889",34.567085,-92.611893,550,"6"
"07043500","758846",36.80761,-89.729202,450,"6"
"07375960","20089890",30.685268,-90.643295,220,"6"
"07035800","731519",37.501144,-90.458527,505,"6"
"02484000","15780454",33.032017,-89.57827,303,"6"
"07028960","14101407",35.747559,-88.851578,211,"6"
"07382500","15148368",30.627846,-92.057465,715,"6"
"02481880","15785080",32.840858,-89.099838,520,"6"
"07364150","19470295",33.623043,-91.447487,576,"6"
"07047950","22865239",34.969128,-90.884544,786,"6"
"07362100","21956120",33.37727,-92.77549,385,"6"
"07376000","20090368",30.508196,-90.68132,247,"6"
"07372200","19376770",31.752695,-92.346535,1899,"6"
"07036100","732863",37.381748,-90.469009,664,"6"
"07292500","19112978",31.318642,-91.116013,787,"6"
"07362500","21950596",33.791042,-92.333282,240,"6"
"07377000","18985872",30.887377,-90.847359,580,"6"
"07383500","15143238",31.028774,-91.98259,270,"6"
"07288500","17956869",33.543949,-90.544136,767,"6"
"07290650","19138473",32.014156,-90.879494,654,"6"
"07030500","14207658",35.055527,-89.5411,503,"6"
"07363400","21926169",34.228806,-92.372391,261,"6"
"07364185","19473063",33.234329,-91.533768,1110,"6"
"07289350","19222549",33.195553,-89.77095,1027,"6"
"07367680","19345441",33.119209,-91.350266,623,"6"
"07027720","14240668",35.72319,-89.219467,718,"6"
"02482000","15785502",32.798843,-89.335426,904,"6"
"07037500","734307",37.19252,-90.500023,956,"6"
"07364200","19474395",32.986298,-91.670341,1187,"6"
"07375500","18975529",30.503826,-90.361984,646,"6"
"07285500","18016786",33.79044,-89.804565,1550,"6"
"07356000","15234772",34.604027,-93.703156,414,"6"
"02482550","15788288",32.707691,-89.519989,1346,"6"
"02483500","15788348",32.667606,-89.651878,1981,"6"
"07031650","14206856",35.116726,-89.800766,699,"6"
"02484500","15786158",32.705822,-89.671539,469,"6"
"08013000","15085941",30.992838,-92.675751,499,"6"
"07369680","19302981",33.09692,-91.254066,500,"6"
"07039500","3665570",36.923111,-90.250961,1311,"6"
"07369700","19303413",32.996246,-91.262405,504,"6"
"02492000","15690765",30.623388,-89.883453,1213,"6"
"08013500","15085713",30.636475,-92.814857,753,"6"
"07077000","25189323",34.804554,-91.448563,23400,"6"
"07367690","19345501",33.004631,-91.436554,721,"6"
"08015500","15085965",30.501848,-92.915672,1700,"6"
"07029500","14078174",35.276772,-88.972725,1480,"6"
"07378500","18990204",30.465414,-90.989464,1280,"6"
"07281600","17991438",33.633286,-90.233482,5221,"6"
"07363200","21928243",34.115501,-92.405853,1120,"6"
"02486000","15758318",32.277206,-90.179474,3171,"6"
"07359002","21999712",34.427029,-92.887993,1550,"6"
"07369500","19273960",32.444042,-91.36113,309,"6"
"07368000","19350501",32.471195,-91.809029,1226,"6"
"07369000","19350633",32.494392,-91.925346,361,"6"
"07077380","9273022",35.856583,-90.93515,701,"6"
"07289730","19180610",32.605984,-90.357864,2340,"6"
"07363500","21813112",33.69912,-92.025787,2100,"6"
"02488500","15737587",31.552773,-90.087845,4993,"6"
"07290000","938060125",32.350384,-90.695511,2812,"6"
"02489000","15702833",31.235456,-89.849968,5720,"6"
"07030050","14073444",35.63726,-89.609161,2308,"6"
"07077555","9278434",35.050953,-91.318336,1170,"6"
"02489500","15708443",30.780859,-89.822258,6573,"6"
